ID,Sampling site,Sampling time,C3mean,C3sd,C35,C325,C350,C375,C395,C4mean,C4sd,C45,C425,C450,C475,C495,Soilmean,Soilsd,Soil5,Soil25,Soil50,Soil75,Soil95,Planktonmean,Planktonsd,Plankton5,Plankton25,Plankton50,Plankton75,Plankton95
214,FL,Nov-19,0.05241995,0.035639782,0.010620884,0.026558845,0.044004893,0.069546479,0.123549338,0.052854588,0.034307138,0.011447944,0.027124017,0.045436271,0.070783778,0.120557146,0.114034749,0.119868591,0.014691295,0.041246731,0.07806734,0.14120646,0.329763986,0.780690713,0.124169005,0.575254657,0.737883423,0.805323479,0.856362719,0.918076453
215,ZX,Nov-19,0.031825143,0.022544312,0.006334723,0.015391884,0.026183162,0.042640491,0.075830016,0.03377952,0.02360967,0.00691527,0.015912717,0.027939334,0.046123805,0.079584848,0.096676433,0.182045169,0.008387398,0.022261958,0.042528709,0.077293333,0.64071213,0.837718904,0.187396315,0.302785849,0.841444787,0.886113773,0.920536163,0.956680854
216,WZ,Nov-19,0.062782711,0.041187424,0.013489829,0.031178514,0.054387461,0.085163759,0.139936528,0.063012823,0.03981433,0.013190948,0.031954189,0.055285498,0.085940843,0.139548171,0.138690295,0.142279706,0.017885783,0.048372762,0.094280636,0.171806773,0.430193072,0.735514171,0.145333092,0.459645344,0.688087214,0.766204336,0.824414819,0.899929119
217,YY,Nov-19,0.078656974,0.052432938,0.015480647,0.038469488,0.067076542,0.109074042,0.181343858,0.07336251,0.046474637,0.015259898,0.037836651,0.064611669,0.09968863,0.161372779,0.150361546,0.129836234,0.020810931,0.059769102,0.115788812,0.200160527,0.404578411,0.69761897,0.132001655,0.462214803,0.6395017,0.718294609,0.784719225,0.86543842
218,WS,Nov-19,0.017652624,0.012764352,0.003398933,0.008475652,0.014604221,0.023544694,0.04216683,0.017720992,0.012912763,0.0034927,0.008404503,0.014551204,0.023391023,0.042682284,0.023820313,0.0191166,0.003955011,0.010211205,0.018479906,0.031868942,0.061429592,0.940806071,0.028060479,0.887709988,0.925645331,0.945291087,0.960965692,0.977979985
219,ZG,Nov-19,0.018688601,0.013148434,0.003880426,0.009212406,0.015424335,0.02476178,0.045259569,0.017036821,0.011881693,0.003550346,0.008286472,0.013940371,0.022984812,0.04077354,0.93544784,0.030781943,0.877721997,0.918078942,0.940025668,0.957801469,0.976665038,0.028826738,0.022726962,0.004776929,0.012487122,0.022528324,0.039391284,0.074053907
220,BX,Nov-19,0.018088263,0.013774405,0.003411023,0.008235824,0.014644422,0.024169343,0.044984737,0.017158419,0.012621224,0.003337954,0.008056529,0.014112216,0.022692386,0.04143357,0.701608427,0.396962283,0.006585198,0.576115347,0.920679539,0.948668337,0.972267022,0.263144891,0.402753129,0.00573846,0.015927862,0.034083605,0.368637429,0.976313432
221,WDD5,Jan-22,0.09252505,0.058386557,0.019079588,0.047170428,0.081601916,0.127389524,0.204201975,0.074042554,0.046490089,0.016142401,0.038644187,0.064302442,0.100471054,0.163121468,0.129702335,0.107562135,0.020037461,0.053850817,0.100572717,0.174911432,0.323230594,0.703730061,0.113220731,0.51292931,0.643811982,0.71339301,0.776613467,0.867705322
222,WDD4,Jan-22,0.099747965,0.061287462,0.021778959,0.052835504,0.088732968,0.136668244,0.218473838,0.069159984,0.043625434,0.014877796,0.036053271,0.060482449,0.092715171,0.151910719,0.113810415,0.093914632,0.018294677,0.049568067,0.090208628,0.149608366,0.281605976,0.717281636,0.102963571,0.552331789,0.659264882,0.723426254,0.787296399,0.864167931
223,WDD3,Jan-22,0.050202654,0.034510838,0.009557135,0.024135987,0.042957082,0.067902994,0.117185601,0.042893304,0.028990675,0.008962787,0.020948291,0.035884422,0.058078611,0.100538892,0.069238465,0.060214485,0.011598951,0.030619634,0.054821315,0.091593154,0.172544248,0.837665577,0.072110213,0.720292733,0.799132606,0.844475514,0.886001989,0.935196155
224,WDD2,Jan-22,0.092867467,0.057417021,0.018782946,0.048751632,0.083053028,0.12704051,0.201271038,0.07165397,0.044361538,0.016169519,0.038143336,0.062744759,0.097570443,0.157426773,0.125207687,0.098877068,0.020685588,0.052711063,0.101933922,0.168318745,0.312420888,0.710270876,0.10523744,0.533958093,0.653076842,0.718855974,0.779906619,0.865811682
225,WDD1,Jan-22,0.172228451,0.089927689,0.041836501,0.102842593,0.164763577,0.23207463,0.335175808,0.085294587,0.053944238,0.018662222,0.043045904,0.07499366,0.115520434,0.186076303,0.134406161,0.105607656,0.02359249,0.060729416,0.107855605,0.179587535,0.330537985,0.608070802,0.112932465,0.427846681,0.543630837,0.611031953,0.680376118,0.786099651
226,BHT3,Jan-22,0.090754619,0.056441495,0.019113349,0.047216854,0.079725831,0.123909839,0.19784089,0.08203927,0.050550737,0.017919854,0.042897112,0.072922219,0.111914075,0.179553838,0.171127636,0.144019723,0.024086817,0.068940119,0.127788473,0.230402697,0.462437403,0.656078476,0.140916077,0.395255998,0.593500333,0.677548814,0.746916037,0.841718131
227,BHT2,Jan-22,0.088449502,0.055935762,0.017764288,0.045422702,0.078354919,0.119164767,0.198694057,0.062925487,0.040235153,0.014070516,0.033455239,0.054112746,0.083346347,0.141332819,0.10099472,0.079482308,0.016078574,0.044678826,0.080647168,0.137090457,0.250676623,0.747630291,0.091317134,0.592959646,0.692465093,0.754979155,0.810042868,0.886326471
228,BHT1,Jan-22,0.116935003,0.069145461,0.024730264,0.062969164,0.105272809,0.159080451,0.24447512,0.087127247,0.053589141,0.018810972,0.046571322,0.077720617,0.118770915,0.186792473,0.16597643,0.129947188,0.02549056,0.069754626,0.132477895,0.22671183,0.417119968,0.629961319,0.127939177,0.412936129,0.563149348,0.642957082,0.7140268,0.811841659
229,XLD4,Jan-22,0.047209493,0.033144956,0.009063156,0.02232797,0.039449593,0.063846358,0.112966726,0.040256688,0.027694029,0.00858405,0.020078898,0.033390862,0.053528157,0.092707256,0.063199129,0.053925368,0.010436695,0.026825418,0.048659862,0.084038194,0.160966072,0.84933469,0.065937641,0.734132843,0.812561512,0.856488328,0.895648188,0.937706275
230,XLD3,Jan-22,0.090235324,0.05651079,0.019142095,0.046682878,0.078760477,0.124533518,0.198966446,0.07215675,0.046213119,0.016126773,0.037406858,0.061965422,0.097790765,0.161757191,0.125918768,0.103371873,0.019989355,0.0537057,0.099793843,0.170623374,0.317875861,0.711689157,0.110111503,0.528341361,0.653253177,0.721061373,0.785371172,0.867205527
231,XLD2,Jan-22,0.054595506,0.036852902,0.011875048,0.02668384,0.045931763,0.07350052,0.127171635,0.053938573,0.034877842,0.011546958,0.028161052,0.046062254,0.072069329,0.124497941,0.107120468,0.107822985,0.014297259,0.040097918,0.076540714,0.135356366,0.284324752,0.784345453,0.113241922,0.602825289,0.742272809,0.802292805,0.855038975,0.913294777
232,XLD1,Jan-22,0.294453284,0.121142604,0.094338035,0.208414406,0.296809204,0.378312284,0.4936545,0.10242301,0.067527806,0.022526087,0.052180928,0.088069718,0.134793367,0.233576294,0.166291595,0.126461948,0.029326105,0.074934543,0.132224324,0.221070902,0.41616442,0.436832111,0.118870731,0.230808746,0.368386341,0.442276707,0.516816952,0.618248018
233,XJB4,Jan-22,0.066017484,0.043001552,0.013098456,0.032554198,0.057521123,0.089873739,0.149873458,0.060959035,0.03926511,0.013224223,0.031504321,0.052173939,0.081962529,0.137736414,0.120517883,0.108864345,0.017673678,0.047813977,0.090519876,0.159565575,0.317541611,0.752505598,0.114076055,0.561397247,0.700931277,0.768644777,0.826459046,0.896848024
234,XJB3,Jan-22,0.09241107,0.058635505,0.017639844,0.047243723,0.080516513,0.127480045,0.205844702,0.073602438,0.045603705,0.017145354,0.038739648,0.063834253,0.101553768,0.160085004,0.137132474,0.113908687,0.020492137,0.056513892,0.106237795,0.182241738,0.358429742,0.696854018,0.118914343,0.492991029,0.635267961,0.708465493,0.776729595,0.863009515
235,XJB2,Jan-22,0.062111748,0.041846602,0.012164751,0.030200097,0.052640048,0.084769113,0.144272794,0.055844925,0.036158764,0.012531266,0.028826284,0.048205033,0.074316043,0.126944521,0.106776586,0.099186714,0.014930704,0.0409417,0.080007024,0.139260307,0.281217718,0.775266741,0.107531961,0.593729104,0.722748066,0.791148922,0.845890012,0.910706057
