13C,N_C
-27.60945353,0.132470073
-28.12131217,0.183673469
-28.44826352,0.165216175
-27.96112943,0.15072819
-27.93484143,0.143425061
-27.86651941,0.130456699
-27.73084052,0.13744775
-27.79370691,0.142184874
-27.80343107,0.147966202
-28.27040531,0.111271676
-28.48597664,0.13623916
-27.91359413,0.119637462
-28.00984818,0.126984127
-29.15432586,0.151304565
-29.25765825,0.125897294
-28.01884037,0.178282451
-27.41601763,0.15417665
-29.26881362,0.223658694
-27.61972505,0.192284738
-28.48044304,0.150831193
-27.88482565,0.189519024
-28.14533823,0.17123671
-27.91277336,0.206673843
-29.70691103,0.230636833
-30.61277557,0.185555876
-28.10853916,0.211165846
-30.43724327,0.263724321
-27.18534743,0.224061183
-25.74584723,0.224884194
-30.28083019,0.210328923
-30.35651704,0.194899821
-32.86569154,0.215338398
-33.01279286,0.152165243
-32.95768733,0.148105956
-32.00726603,0.134147029
