Sampling	POC_PP	ND	RA	HRT	DSUP	DSDW	RPOC	RPP	CL	IS	HAI
128	34.598	9	13	72	127	922.67	25.74	69.994	34.96932672	1.034331659	1.760675941
129	30.426	7	5	47	4	638.68	-58.29	67.803	41.27646511	0.439338992	1.076453841
130	132.026	8	6	24	102	55	42.113	-155.772	23.67495532	0.25081237	0.169402677
131	143.391	8	6	24	59	98	42.113	-155.772	24.85447009	0.444550876	0.246859472
132	154.517	8	6	25	34	123	42.113	-155.772	26.29489177	0.677811082	0.568085703
133	188.153	8	6	25	28	129	42.113	-155.772	24.6754289	0.658441142	0.596358822
134	86.309	8	6	24	15	142	42.113	-155.772	22.80592026	0.284319258	0.210559095
135	32.449	8	6	24	10	147	42.113	-155.772	27.3010527	0.306484322	0.191013815
136	16.463	8	6	24	2	155	42.113	-155.772	37.44535477	0.518301693	0.460098212
137	5.848	7	1	17.622655	190.3	87.08	90.272	68.188	43.49371823	2.64836972	80.46803186
138	0.459	8	1	17.622655	108.6	168.78	90.272	68.188	42.27172213	0.079867321	0.072130965
139	0.552	8	1	17.622655	15.9	281.98	90.272	68.188	31.46461295	0.098720204	0.0540847
140	0.458	8	1	17.622655	5	292.88	90.272	68.188	34.22176252	0.159479069	0.297853172
141	1.426	10	8	13	53	142.7	41.55	37.345	33.74312294	0.128274209	0.101411075
142	3.411	10	8	13	23.8	171.9	41.55	37.345	42.98974824	0.128019607	0.145252619
143	1.349	10	8	13	2	193.7	41.55	37.345	33.55399925	0.396281501	1.223589778
144	1.863	11	9	8	102.4	54.6	52.656	-27.703	27.11605974	0.274761669	0.161739809
145	7.163	11	9	8	29.4	127.6	52.656	-27.703	27.09481587	0.700193231	0.588515405
146	3.261	11	9	8	1	156	52.656	-27.703	33.55399925	0.396281501	0.24138022
